"Phase","Index","Label","Description","Category","Level","Symptom","Entry"
"3","2249.0","liver cirrhosis","Liver cirrhosis is a condition in which the liver does not function properly due to long-term damage","Disease / Medical Condition","2","liver fibrosis","I have been diagnosed with liver fibrosis."
"1","504","diaphoresis","Excessive sweating","Symptom","2","abnormal sweating","I've been dealing with abnormal sweating. It's like my body is constantly drenched in sweat, even when I'm not engaging in any physical activities or feeling overheated. It's becoming quite bothersome and affecting my daily life."
"1","1588","palpitation","Irregular heartbeat","Symptom","3","palpitation","Doctor, I am experiencing episodes where my heart rhythm feels irregular. It's as if my heart skips a beat or beats too fast at times, and this has been concerning me lately."
"3","4097.0","family history of vitiligo","Vitiligo is a disease that causes loss of skin color in patches","Family History","2","grandpa had vitiligo","I know that my grandpa had vitiligo."
"1","540","diplopia","Double vision","Symptom","2","seeing two images of the same thing","AFTER A CHANGE IN MY SPECTACLES I SEE DOUBLE IMAGES. CAN IT BE RECTIFIED PLEASE SUGGEST ME."
"3","2130.0","preexisting achilles tendon problems","Achilles tendon is a tough tissue that connects the calf muscle to the heel bone","Symptom","2","achilles tendon disorders","I have had problems before.  In fact, I have been previously diagnosed with achilles tendon disorders."
"2","2098","urinary tract infection","Infection in any part of urinary system","Symptom","3","urinary tract infection","I've been diagnosed with an infection in my kidney, I keep having pain when I urinate"
"3","4830.0","melanoma","Melanoma is a form of skin cancer","Disease / Medical Condition","2","skin cancer","I have been diagnosed with skin cancer."
"3","4982.0","history of stroke","Stroke occurs when something blocks the blood supply to the brain or when a blood vessel in the brain bursts","Disease / Medical Condition","2","history of cva","I'd like you to know that I have a history of CVA, which is relevant to my medical background."
"3","4397.0","use of ophthalmic medication","Ophthalmic medications include eyedrops, gels or ointments These are anti-infective drugs that can either kill an infectious agent or inhibit it from spreading","Medication","2","use of eye ointments","""I'm currently using eye ointments as part of my medication. These ophthalmic medications, including gels or ointments, are anti-infective drugs aimed at preventing the spread of infectious agents in my eyes."" ✅"
"1","198","bone deformity","","Symptom","1","bone deformity","whenever i'm walking i feel like my bones are deforming"
"3","5360.0","family history of cystic fibrosis","Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body","Family History","2","family history of cf","I have a family history of cystic fibrosis, so I believe it could be a risk factor for my health."
"1","910","skin growth","Skin bump","Symptom","2","skin projection","I get a strange skin projection on the inside of my leg.  I only really notice it when I have to scratch it, but it's definitely a new problem."
"3","4426.0","use of tanning bed","Indoor tanning beds have been used for tanning purposes","Risk factor","2","use of uv bed","I use a UV bed for tanning"
"1","429","decreased fetal movements","Decreased baby movements","Symptom","2","decreased fetal kicks","Lately i've been experiencing some  decreased fetal kicks."
"1","643","ataxia","Feeling unsteady","Symptom","1","lose balance","I lose balance when I stand up after sitting for a long time."
"3","4056.0","family history of cluster headaches","Cluster headaches are recurrent and severe headaches located on one side of the head, typically around the eyes","Family History","2","cluster headaches is a familial trait","Doctor, I'd like to highlight that cluster headaches run in my family as a familial trait. Understanding this history may provide valuable context when evaluating any neurological or headache-related concerns I might present with."
"1","1032","hypopigmented skin lesion","Light spots of skin","Symptom","2","hypopigmented plaque","Doc I find some white spots on my skin which are of a different color from my original skin"
"1","142","ascites","Swollen belly","Symptom","2","abnormally large tummy","I've noticed that my tummy has become abnormally large. It's like it's swollen or bloated, and it's been causing discomfort and making it difficult to find clothes that fit properly."
"3","3998.0","family history of endometriosis","Endometriosis is a condition in which cells similar to the cells that form the lining of the uterus grow outside of the uterus","Family History","2","endometriosis has been seen in multiple family members","I have a family history of endometriosis. Several family members have been diagnosed with it."
"3","3338.0","pelvic mass","Feeling an unusual mass or lump when you touch your pelvic area","Symptom","3","pelvic mass","My pelvic has a swollen area like a lump that is mobile"
"3","1985.0","neck surgery","To remove the thyroid gland or parts of it, parathyroid gland or parts of it, or a neck mass","Procedure / Surgery","2","neck procedure","I've had a neck procedure."
"1","298","exophthalmos","Bulging eyeballs","Symptom","1","exophthalmos","I woke up this morning and had a bad case bulging eyeballs.I have been wearing sunglasses all day."
